external_id,action,record_status,publish_status,region_slug,route_slugs,route_role,actor_kind,category_slug,subcategory,public_name,legal_name,short_description,full_description,services,street,address_number,address_extra,neighborhood,city,state,postal_code,country_code,latitude,longitude,phone_e164,whatsapp_e164,email,website_url,instagram_url,opening_hours_text,payment_methods,accessibility_text,languages,image_url,image_alt,image_credit,source_type,source_reference,verification_status,verified_at,verified_by,public_contact_authorized,media_authorized,partnership_type,admin_notes
inventory:pindobal:11,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,shopping_lojas_de_departamento,shopping-lojas-de-departamento,Shopping Rio Tapajós,,Shopping lojas de departamento em Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,"O Rio Tapajós Shopping possui um piso para estabelecimentos co- merciais, onde estão distribuídas 138 lojas (09 âncoras e semi âncoras), um supermercado, Praça de Alimentação, área para recreação infantil e oito salas de cinema tipo multiplex stadium.","End. Avenida Eng. Fernando Guilhon, s/n - Santarenzinho – CEP: 68035-000",,,,Santarém,PA,68035000,BR,-2.447721,-54.757365,,,,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 37,unverified,,,false,false,none,id_operacional=11; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 37; categoria_original=shopping/lojas de departamento; dist_rota_m=258.6; km_rota=3.693; segmento_rota=100
inventory:pindobal:12,upsert,active,draft,santarem-alter-do-chao,pindobal,support,institution,cartorios,cartorios,Cartório Siqueira Sardinha Único Ofício,,Cartorios em Vila de Alter do Chão — Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,"Rua Turiano Meira, 370 – Alter do Chão – Centro - CEP: 68005-290",,,,Santarém,PA,68005290,BR,-2.504278,-54.954306,,,cartorioalter@hotmail.com,,,8h às 12h das 14h às 17h (segunda a sexta),,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 38,unverified,,,false,false,none,id_operacional=12; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 38; categoria_original=cartórios; dist_rota_m=513.1; km_rota=33.27; segmento_rota=656
inventory:pindobal:13,upsert,active,draft,santarem-alter-do-chao,pindobal,support,institution,religioso,igrejas-e-templos,Paróquia N. Sra. do Rosário,,Religioso em Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,"Rua São Tomé, s/n - Santarenzinho - CEP: 68.035-310",,,,Santarém,PA,,BR,-2.449028,-54.741278,,,paroqdorosario@yahoo.com.br,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 40,unverified,,,false,false,none,id_operacional=13; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 40; categoria_original=Igrejas e Templos; dist_rota_m=553.4; km_rota=2.077; segmento_rota=56
inventory:pindobal:14,upsert,active,draft,santarem-alter-do-chao,pindobal,support,institution,religioso,igrejas-e-templos,Paróquia N. Sra. da Saúde,,Religioso em Vila de Alter do Chão — Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,"Tv. Turiano Meira, 526 - Centro - Alter do Chão - CEP: 68109-000",,,,Santarém,PA,68109000,BR,-2.503583,-54.952472,,,saudealter@gmail.com,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 40,unverified,,,false,false,none,id_operacional=14; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 40; categoria_original=Igrejas e Templos; dist_rota_m=424.6; km_rota=33.27; segmento_rota=656
inventory:pindobal:15,upsert,active,draft,santarem-alter-do-chao,pindobal,support,institution,religioso,igrejas-e-templos,Área Pastoral São João Batista,,Religioso em Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,"Av. Margarida, 261 - Jardim Santarém - CEP: 68030-540",,,,Santarém,PA,68030540,BR,-2.439556,-54.726806,,,saojoaobatista-@hotmail.com,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 40,unverified,,,false,false,none,id_operacional=15; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 40; categoria_original=Igrejas e Templos; dist_rota_m=563.3; km_rota=0.194; segmento_rota=11
inventory:pindobal:16,upsert,active,draft,santarem-alter-do-chao,pindobal,support,institution,religioso,igrejas-e-templos,Área Pastoral São Pedro,,Religioso em Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,"Rua Boa Esperança, 219 - Bairro Esperança - CEP: 68030-200",,,,Santarém,PA,68030200,BR,-2.449194,-54.727917,,,,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 41,unverified,,,false,false,none,id_operacional=16; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 41; categoria_original=Igrejas e Templos; dist_rota_m=734.0; km_rota=0.0; segmento_rota=1
inventory:pindobal:17,upsert,active,draft,santarem-alter-do-chao,pindobal,support,institution,religioso,igrejas-e-templos,Área Pastoral Madre Paulina,,Religioso em Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,"Rua Valmir Sarmento, 129 – Conquista - CEP: 68035-090",,,,Santarém,PA,68035090,BR,-2.450472,-54.753139,,,,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 41,unverified,,,false,false,none,id_operacional=17; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 41; categoria_original=Igrejas e Templos; dist_rota_m=201.6; km_rota=3.375; segmento_rota=97
inventory:pindobal:18,upsert,active,draft,santarem-alter-do-chao,pindobal,support,institution,religioso,igrejas-e-templos,Igreja Presbiteriana Independente,,Religioso em Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,"Av. Girassol, 1308 – Jardim Santarém - CEP: 68038-330",,,,Santarém,PA,68038330,BR,-2.442194,-54.727472,,,,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 41,unverified,,,false,false,none,id_operacional=18; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 41; categoria_original=Igrejas e Templos; dist_rota_m=365.0; km_rota=0.038; segmento_rota=2
inventory:pindobal:19,upsert,active,draft,santarem-alter-do-chao,pindobal,support,institution,religioso,igrejas-e-templos,Igreja da Paz - Esperança,,Religioso em Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,Rua Quixadá 445 - Esperança - CEP: 68030-250,,,,Santarém,PA,68030250,BR,-2.446417,-54.727972,,,,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 42,unverified,,,false,false,none,id_operacional=19; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 42; categoria_original=Igrejas e Templos; dist_rota_m=466.7; km_rota=0.0; segmento_rota=1
inventory:pindobal:20,upsert,active,draft,santarem-alter-do-chao,pindobal,support,institution,religioso,igrejas-e-templos,Igreja da Paz - Santarenzinho,,Religioso em Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,Rod. Eng. Fernando Guilhon 188 - Santarenzinho - CEP: 68035-000,,,,Santarém,PA,68035000,BR,-2.443722,-54.740944,,,,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 43,unverified,,,false,false,none,id_operacional=20; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 43; categoria_original=Igrejas e Templos; dist_rota_m=31.0; km_rota=1.839; segmento_rota=49
inventory:pindobal:21,upsert,active,draft,santarem-alter-do-chao,pindobal,support,institution,religioso,igrejas-e-templos,Igreja da Paz Salvação - Salvação,,Religioso em Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,Rua Conceição Barreto 41 - Conquista - CEP: 68035-830,,,,Santarém,PA,68035830,BR,-2.450222,-54.755194,,,,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 43,unverified,,,false,false,none,id_operacional=21; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 43; categoria_original=Igrejas e Templos; dist_rota_m=89.4; km_rota=3.573; segmento_rota=99
inventory:pindobal:22,upsert,active,draft,santarem-alter-do-chao,pindobal,support,institution,religioso,igrejas-e-templos,Igreja da Paz Conquista,,Religioso em Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,Rua Olavo Bilac 495 - CEP: 68035-360,,,,Santarém,PA,68035360,BR,-2.452361,-54.75225,,,,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 43,unverified,,,false,false,none,id_operacional=22; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 43; categoria_original=Igrejas e Templos; dist_rota_m=433.6; km_rota=3.367; segmento_rota=97
inventory:pindobal:23,upsert,active,draft,santarem-alter-do-chao,pindobal,support,institution,religioso,igrejas-e-templos,Igreja da Paz Cucurunã - Cucurunã,,Religioso em Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,Rodovia Everaldo Martins Km 05 - Comunidade de Cucurunã - CEP: 68100-993,,,,Santarém,PA,68100993,BR,-2.473694,-54.783139,,,,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 43,unverified,,,false,false,none,id_operacional=23; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 43; categoria_original=Igrejas e Templos; dist_rota_m=14.5; km_rota=8.112; segmento_rota=224
inventory:pindobal:24,upsert,active,draft,santarem-alter-do-chao,pindobal,support,institution,religioso,igrejas-e-templos,Igreja da Paz - Alter do Chão,,Religioso em Vila de Alter do Chão — Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,Trav. São Cristóvão s/n - CEP: 68109-00,,,,Santarém,PA,,BR,-2.50775,-54.955972,,,,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 43,unverified,,,false,false,none,id_operacional=24; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 43; categoria_original=Igrejas e Templos; dist_rota_m=238.8; km_rota=34.143; segmento_rota=668
inventory:pindobal:25,upsert,active,draft,santarem-alter-do-chao,pindobal,support,institution,religioso,igrejas-e-templos,Igreja da Paz - Irurama,,Religioso em Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,Estrada do Irurama - CEP: 68100-000 -,,,,Santarém,PA,68100000,BR,-2.487778,-54.837139,,,,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 43,unverified,,,false,false,none,id_operacional=25; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 43; categoria_original=Igrejas e Templos; dist_rota_m=155.2; km_rota=14.719; segmento_rota=378
inventory:pindobal:26,upsert,active,draft,santarem-alter-do-chao,pindobal,support,institution,religioso,igrejas-e-templos,Igreja da Paz - São Brás,,Religioso em Comunidade São Brás — Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,Rodovia Everaldo Martins Km 07 - Comunidade de São Brás - CEP: 68100-000,,,,Santarém,PA,68100000,BR,-2.484833,-54.822611,,,,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 44,unverified,,,false,false,none,id_operacional=26; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 44; categoria_original=Igrejas e Templos; dist_rota_m=10.7; km_rota=12.939; segmento_rota=333
inventory:pindobal:27,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,hospedagem,hospedagem,Hotel Açaí,,Hospedagem em Comunidade Caranazal — Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,"Wi-Fi grátis, café da manhã incluso na diária, restaurante, Tv a cabo, espaço para eventos, 2 auditórios com capacidade para 100 e 60 pessoas, estacio - namento próprio UH: 60 - Leitos: 135","Av. Cuiabá, 2606 - Caranazal - CEP: 68040-400",,,,Santarém,PA,68040400,BR,-2.439806,-54.732833,+5593991308030,,reservas@hotelacay.com.br,https://www.hotelacay.com.br,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 48,unverified,,,false,false,none,id_operacional=27; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 48; categoria_original=hospedagem; dist_rota_m=31.4; km_rota=0.797; segmento_rota=24; telefone_original=(93) 99130-8030
inventory:pindobal:28,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,hospedagem,hospedagem,Hotel Raifran,,Hospedagem em Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,"Av. Cuiabá, 2953 - Esperança - CEP: 68040-400",,,,Santarém,PA,68040400,BR,-2.448556,-54.729889,+5593991148764,,,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 49,unverified,,,false,false,none,id_operacional=28; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 49; categoria_original=hospedagem; dist_rota_m=603.2; km_rota=0.0; segmento_rota=1; telefone_original=(93) 99114-8764 / 99211-8128 / 99148-1675
inventory:pindobal:29,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,hospedagem,hospedagem,Hotel Pôr do Sol,,Hospedagem em Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,"Wi-Fi grátis, café da manhã incluso na diária, TV a cabo, quartos climatizados, piscina, 1 auditório, sala de reunião, estacionamento próprio - UH: 39","Rod. Fernando Guilhon, 1000 - Santarenzinho - CEP: 68035-000",,,,Santarém,PA,68035000,BR,-2.444583,-54.744528,+5593991751427,,recepcao@pordosolhotel.com.br,https://www.pordosolhotel.com.br,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 51,unverified,,,false,false,none,id_operacional=29; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 51; categoria_original=hospedagem; dist_rota_m=39.9; km_rota=2.235; segmento_rota=59; telefone_original=(93) 99175-1427
inventory:pindobal:30,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,hospedagem,hospedagem,Hotel Rio Tapajós,,Hospedagem em Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,,"Rodovia Fernando Guilhon, 18",,,,Santarém,PA,,BR,-2.448136,-54.753307,+5593991396024,,hotelriotapajosstm@hotmail.com,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 52,unverified,,,false,false,none,id_operacional=30; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 52; categoria_original=hospedagem; dist_rota_m=44.7; km_rota=3.291; segmento_rota=97; telefone_original=(93) 99139-6024
inventory:pindobal:31,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,hospedagem,hospedagem,Hotel Água linda,,Hospedagem em Vila de Alter do Chão — Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,"Apartamentos tipo chalé, suítes com ar-condicionado, restaurante, salão de eventos, salão com capacidade para 40 pessoas e anexo para 150 pessoas, TV por satélite, frigobar UH: 32 - Leitos: 84","Rua Dom Macedo Costa, 777 - Centro, Alter do Chão - CEP: 68109-000",,,,Santarém,PA,68109000,BR,-2.504444,-54.951306,+5593991221373,,agualinda@agualindahotel.com.br,https://www.agualindahotel.com.br,,,"Dinheiro, Cartão de crédito e débito",,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 53,unverified,,,false,false,none,id_operacional=31; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 53; categoria_original=hospedagem; dist_rota_m=281.3; km_rota=33.27; segmento_rota=656; telefone_original=(93) 99122-1373
inventory:pindobal:32,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,hospedagem,hospedagem,Hotel Beloalter - Casa do Saulo,,Hospedagem em Vila de Alter do Chão — Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,"Praia privada, restaurante, piscina, auditório UH: 30 - Leitos: 90","Rua Pedro Teixeira, 500 - Carauarí - Alter do Chão - CEP: 68109-000",,,,Santarém,PA,68109000,BR,-2.506611,-54.9445,+5593991317677,,reservas@beloalter.com.br,https://www.beloalter.com.br,,,"Dinheiro, Cartão de crédito e débito",,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 53,unverified,,,false,false,none,id_operacional=32; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 53; categoria_original=hospedagem; dist_rota_m=662.1; km_rota=33.27; segmento_rota=656; telefone_original=(93) 99131-7677 / 99111-3133
inventory:pindobal:33,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,hospedagem,hospedagem,Hotel Mirante da Ilha,,Hospedagem em Vila de Alter do Chão — Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,"Terraço com mirante de frente à Ilha do Amor, carros para transfer (sob consulta) gerador próprio, sistema de energia solar para aquecimento da água, auditório com capacidade para 200 pessoas, restaurante panorâmico, lavanderia, piscina e bar. Especialidades: Comidas típicas. UH: 60 - Leitos: 146","Rua Lauro Sodré, 369 - Centro - Alter do Chão - CEP: 68109-000",,,,Santarém,PA,68109000,BR,-2.502806,-54.953944,+559335271268,,contato@hotelmirantedailha.com.br,https://www.hotelmirantedailha.com.br,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 54,unverified,,,false,false,none,id_operacional=33; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 54; categoria_original=hospedagem; dist_rota_m=591.7; km_rota=33.27; segmento_rota=656; telefone_original=(93) 3527-1268(ws) / 3527-1110
inventory:pindobal:34,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,hospedagem,hospedagem,Hotel Borari,,Hospedagem em Vila de Alter do Chão — Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,"Wi-Fi grátis, área de lazer, estacionamento, piscina com água aquecida UH: 44 - Leitos: 100","Rua Dom Macedo Costa, 1061 - Alter do Chão - CEP: 68000-109",,,,Santarém,PA,68000109,BR,-2.504667,-54.952861,+5593991303535,,hotelborari@hotmail.com,https://www.hotelborari.com.br,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 54,unverified,,,false,false,none,id_operacional=34; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 54; categoria_original=hospedagem; dist_rota_m=359.3; km_rota=33.27; segmento_rota=656; telefone_original=(93) 99130-3535 / 3017-1152
inventory:pindobal:35,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,hospedagem,hospedagem,Pousada Babaçu,,Hospedagem em Vila de Alter do Chão — Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,"Dispomos de 07 apartamentos com 21 leitos confortáveis, wi-fi","Rua Professor Juvencio Navarro, 425 - Alter do Chão",,,,Santarém,PA,,BR,-2.508771,-54.951346,+5593991922768,,augusto68mendes@gmail.com,,,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 55,unverified,,,false,false,none,id_operacional=35; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 55; categoria_original=hospedagem; dist_rota_m=75.3; km_rota=33.043; segmento_rota=653; telefone_original=(93) 99192-2768
inventory:pindobal:36,upsert,active,draft,santarem-alter-do-chao,pindobal,support,business,hospedagem,hospedagem,Hotel Caribe do Alter,,Hospedagem em Vila de Alter do Chão — Santarém/PA; informações importadas do inventário e pendentes de revisão editorial.,,"A pousada dispõe de 17 apartamentos com 30 leitos, wi-fi, estacionamento","Travessa Francisco pedroso, 66 - Alter do Chão",,,,Santarém,PA,,BR,-2.511104,-54.950268,+5593991477714,,hotelcaribedealter@gmail.com,,https://www.instagram.com/hotelcaribedealter,,,,pt-BR,,,,institutional,Inventário da Oferta Turística da Secretaria de Turismo; página 55,unverified,,,false,false,none,id_operacional=36; fonte_original=Inventário da Oferta Turística da Secretaria de Turismo; página 55; categoria_original=hospedagem; dist_rota_m=32.9; km_rota=32.767; segmento_rota=643; telefone_original=(93) 99147-7714
