prioridade,codigo,external_id,titulo,fonte,referencia_fonte,campo,valor_atual,acao_recomendada
média,far_from_route,inventory:pindobal:7,Art Grupo Lago Verde,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 36,dist_rota_m,528.5,Confirmar se o ponto deve permanecer vinculado à rota de Pindobal.
média,missing_contact,inventory:pindobal:8,Borari Art’s,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 36,contatos,,Confirmar ao menos um canal público autorizado.
alta,contact_authorization_required,inventory:pindobal:9,Praça do Sairé,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 36,contatos,encantodoçairef@gmail.com,Registrar autorização antes de tornar qualquer contato público.
baixa,email_cleaned,inventory:pindobal:9,Praça do Sairé,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 36,email,encantodoçairef@gmail.com,Confirmar o e-mail normalizado: airef@gmail.com
média,missing_contact,inventory:pindobal:10,Flor de Rio,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 36,contatos,,Confirmar ao menos um canal público autorizado.
média,missing_contact,inventory:pindobal:11,Shopping Rio Tapajós,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 37,contatos,,Confirmar ao menos um canal público autorizado.
alta,contact_authorization_required,inventory:pindobal:12,Cartório Siqueira Sardinha Único Ofício,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 38,contatos,cartorioalter@hotmail.com,Registrar autorização antes de tornar qualquer contato público.
média,far_from_route,inventory:pindobal:12,Cartório Siqueira Sardinha Único Ofício,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 38,dist_rota_m,513.1,Confirmar se o ponto deve permanecer vinculado à rota de Pindobal.
alta,contact_authorization_required,inventory:pindobal:13,Paróquia N. Sra. do Rosário,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 40,contatos,paroqdorosario@yahoo.com.br,Registrar autorização antes de tornar qualquer contato público.
média,far_from_route,inventory:pindobal:13,Paróquia N. Sra. do Rosário,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 40,dist_rota_m,553.4,Confirmar se o ponto deve permanecer vinculado à rota de Pindobal.
alta,contact_authorization_required,inventory:pindobal:14,Paróquia N. Sra. da Saúde,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 40,contatos,saudealter@gmail.com,Registrar autorização antes de tornar qualquer contato público.
alta,contact_authorization_required,inventory:pindobal:15,Área Pastoral São João Batista,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 40,contatos,saojoaobatista-@hotmail.com,Registrar autorização antes de tornar qualquer contato público.
média,far_from_route,inventory:pindobal:15,Área Pastoral São João Batista,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 40,dist_rota_m,563.3,Confirmar se o ponto deve permanecer vinculado à rota de Pindobal.
média,missing_contact,inventory:pindobal:16,Área Pastoral São Pedro,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 41,contatos,,Confirmar ao menos um canal público autorizado.
média,far_from_route,inventory:pindobal:16,Área Pastoral São Pedro,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 41,dist_rota_m,734.0,Confirmar se o ponto deve permanecer vinculado à rota de Pindobal.
média,missing_contact,inventory:pindobal:17,Área Pastoral Madre Paulina,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 41,contatos,,Confirmar ao menos um canal público autorizado.
média,missing_contact,inventory:pindobal:18,Igreja Presbiteriana Independente,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 41,contatos,,Confirmar ao menos um canal público autorizado.
média,missing_contact,inventory:pindobal:19,Igreja da Paz - Esperança,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 42,contatos,,Confirmar ao menos um canal público autorizado.
média,missing_contact,inventory:pindobal:20,Igreja da Paz - Santarenzinho,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 43,contatos,,Confirmar ao menos um canal público autorizado.
média,missing_contact,inventory:pindobal:21,Igreja da Paz Salvação - Salvação,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 43,contatos,,Confirmar ao menos um canal público autorizado.
média,missing_contact,inventory:pindobal:22,Igreja da Paz Conquista,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 43,contatos,,Confirmar ao menos um canal público autorizado.
média,missing_contact,inventory:pindobal:23,Igreja da Paz Cucurunã - Cucurunã,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 43,contatos,,Confirmar ao menos um canal público autorizado.
média,missing_contact,inventory:pindobal:24,Igreja da Paz - Alter do Chão,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 43,contatos,,Confirmar ao menos um canal público autorizado.
média,missing_contact,inventory:pindobal:25,Igreja da Paz - Irurama,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 43,contatos,,Confirmar ao menos um canal público autorizado.
média,missing_contact,inventory:pindobal:26,Igreja da Paz - São Brás,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 44,contatos,,Confirmar ao menos um canal público autorizado.
alta,contact_authorization_required,inventory:pindobal:27,Hotel Açaí,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 48,contatos,(93) 99130-8030,Registrar autorização antes de tornar qualquer contato público.
baixa,website_cleaned,inventory:pindobal:27,Hotel Açaí,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 48,site,www.hotelacay.com.br,Confirmar a URL normalizada: https://www.hotelacay.com.br
alta,contact_authorization_required,inventory:pindobal:28,Hotel Raifran,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 49,contatos,(93) 99114-8764 / 99211-8128 / 99148-1675,Registrar autorização antes de tornar qualquer contato público.
média,far_from_route,inventory:pindobal:28,Hotel Raifran,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 49,dist_rota_m,603.2,Confirmar se o ponto deve permanecer vinculado à rota de Pindobal.
alta,contact_authorization_required,inventory:pindobal:29,Hotel Pôr do Sol,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 51,contatos,(93) 99175-1427,Registrar autorização antes de tornar qualquer contato público.
baixa,website_cleaned,inventory:pindobal:29,Hotel Pôr do Sol,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 51,site,www.pordosolhotel.com.br,Confirmar a URL normalizada: https://www.pordosolhotel.com.br
alta,contact_authorization_required,inventory:pindobal:30,Hotel Rio Tapajós,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 52,contatos,(93) 99139-6024,Registrar autorização antes de tornar qualquer contato público.
alta,contact_authorization_required,inventory:pindobal:31,Hotel Água linda,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 53,contatos,(93) 99122-1373,Registrar autorização antes de tornar qualquer contato público.
média,multiple_emails,inventory:pindobal:31,Hotel Água linda,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 53,email,agualinda@agualindahotel.com.br / reservas@agualindahotel.com.br,Escolher o e-mail público principal.
baixa,website_cleaned,inventory:pindobal:31,Hotel Água linda,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 53,site,www.agualindahotel.com.br,Confirmar a URL normalizada: https://www.agualindahotel.com.br
alta,contact_authorization_required,inventory:pindobal:32,Hotel Beloalter - Casa do Saulo,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 53,contatos,(93) 99131-7677 / 99111-3133,Registrar autorização antes de tornar qualquer contato público.
baixa,website_cleaned,inventory:pindobal:32,Hotel Beloalter - Casa do Saulo,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 53,site,www.beloalter.com.br | facebook.com/beloalter,Confirmar a URL normalizada: https://www.beloalter.com.br
média,far_from_route,inventory:pindobal:32,Hotel Beloalter - Casa do Saulo,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 53,dist_rota_m,662.1,Confirmar se o ponto deve permanecer vinculado à rota de Pindobal.
alta,contact_authorization_required,inventory:pindobal:33,Hotel Mirante da Ilha,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 54,contatos,(93) 3527-1268(ws) / 3527-1110,Registrar autorização antes de tornar qualquer contato público.
média,multiple_emails,inventory:pindobal:33,Hotel Mirante da Ilha,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 54,email,contato@hotelmirantedailha.com.br / reservas@hotelmirantedailha.com.br,Escolher o e-mail público principal.
baixa,website_cleaned,inventory:pindobal:33,Hotel Mirante da Ilha,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 54,site,www.hotelmirantedailha.com.br,Confirmar a URL normalizada: https://www.hotelmirantedailha.com.br
média,far_from_route,inventory:pindobal:33,Hotel Mirante da Ilha,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 54,dist_rota_m,591.7,Confirmar se o ponto deve permanecer vinculado à rota de Pindobal.
alta,contact_authorization_required,inventory:pindobal:34,Hotel Borari,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 54,contatos,(93) 99130-3535 / 3017-1152,Registrar autorização antes de tornar qualquer contato público.
baixa,website_cleaned,inventory:pindobal:34,Hotel Borari,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 54,site,www.hotelborari.com.br,Confirmar a URL normalizada: https://www.hotelborari.com.br
alta,contact_authorization_required,inventory:pindobal:35,Pousada Babaçu,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 55,contatos,(93) 99192-2768,Registrar autorização antes de tornar qualquer contato público.
média,invalid_instagram,inventory:pindobal:35,Pousada Babaçu,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 55,instagram,@pousadababaçualter,Confirmar o usuário e informar a URL HTTPS completa.
alta,contact_authorization_required,inventory:pindobal:36,Hotel Caribe do Alter,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 55,contatos,(93) 99147-7714,Registrar autorização antes de tornar qualquer contato público.
alta,contact_authorization_required,inventory:pindobal:37,Pousada Casa do Ivo Alter,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 56,contatos,(93) 98401-0771,Registrar autorização antes de tornar qualquer contato público.
alta,contact_authorization_required,inventory:pindobal:38,Pousada Aurora Boreal,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 56,contatos,(93) 99232-3740,Registrar autorização antes de tornar qualquer contato público.
alta,contact_authorization_required,inventory:pindobal:39,Pousada Aurora Boreal 2,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 56,contatos,(93) 99232-3740,Registrar autorização antes de tornar qualquer contato público.
alta,contact_authorization_required,inventory:pindobal:40,Pousada Casa de Vidro,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 57,contatos,paulocruz012@gmail.com,Registrar autorização antes de tornar qualquer contato público.
média,invalid_instagram,inventory:pindobal:40,Pousada Casa de Vidro,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 57,instagram,@espaçocasadevidropindobal,Confirmar o usuário e informar a URL HTTPS completa.
alta,contact_authorization_required,inventory:pindobal:41,Pousada Luar de Alter,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 57,contatos,(93) 99216-4832,Registrar autorização antes de tornar qualquer contato público.
alta,contact_authorization_required,inventory:pindobal:42,Pousada Tauari,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 57,contatos,(93) 99214-5169,Registrar autorização antes de tornar qualquer contato público.
alta,contact_authorization_required,inventory:pindobal:43,Pousada Sumauma,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 57,contatos,(93) 99139-0650,Registrar autorização antes de tornar qualquer contato público.
alta,contact_authorization_required,inventory:pindobal:44,Pousada Santos,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 57,contatos,(93) 99194-6323,Registrar autorização antes de tornar qualquer contato público.
média,far_from_route,inventory:pindobal:44,Pousada Santos,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 57,dist_rota_m,552.3,Confirmar se o ponto deve permanecer vinculado à rota de Pindobal.
alta,contact_authorization_required,inventory:pindobal:45,Hostel Lavi Alter,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 58,contatos,(93) 99221-8013,Registrar autorização antes de tornar qualquer contato público.
alta,contact_authorization_required,inventory:pindobal:46,Pousada Alter Chalé,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 58,contatos,(93) 99131-4533,Registrar autorização antes de tornar qualquer contato público.
alta,contact_authorization_required,inventory:pindobal:47,Pousada Villa Éden,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 58,contatos,(93) 99221-4158,Registrar autorização antes de tornar qualquer contato público.
alta,contact_authorization_required,inventory:pindobal:48,Pousada Casa da Árvore Alter,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 59,contatos,(21) 98237-5720,Registrar autorização antes de tornar qualquer contato público.
média,far_from_route,inventory:pindobal:48,Pousada Casa da Árvore Alter,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 59,dist_rota_m,661.4,Confirmar se o ponto deve permanecer vinculado à rota de Pindobal.
alta,contact_authorization_required,inventory:pindobal:49,Pousada Flora,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 60,contatos,(93) 99164-5760,Registrar autorização antes de tornar qualquer contato público.
média,far_from_route,inventory:pindobal:49,Pousada Flora,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 60,dist_rota_m,571.5,Confirmar se o ponto deve permanecer vinculado à rota de Pindobal.
alta,contact_authorization_required,inventory:pindobal:50,Pousada Lumi,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 61,contatos,(93) 99244-1889,Registrar autorização antes de tornar qualquer contato público.
alta,contact_authorization_required,inventory:pindobal:51,Pousada Chalés da Ilha,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 61,contatos,(93) 99118-1184,Registrar autorização antes de tornar qualquer contato público.
média,far_from_route,inventory:pindobal:51,Pousada Chalés da Ilha,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 61,dist_rota_m,683.4,Confirmar se o ponto deve permanecer vinculado à rota de Pindobal.
alta,contact_authorization_required,inventory:pindobal:52,Pousada Vila Flor,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 61,contatos,(11) 99177-2885,Registrar autorização antes de tornar qualquer contato público.
alta,contact_authorization_required,inventory:pindobal:53,Pousada Cunhantã,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 62,contatos,pousadacunhanta@gmail.com,Registrar autorização antes de tornar qualquer contato público.
média,invalid_instagram,inventory:pindobal:53,Pousada Cunhantã,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 62,instagram,@pousadacunhantã,Confirmar o usuário e informar a URL HTTPS completa.
alta,contact_authorization_required,inventory:pindobal:54,Pousada Recanto Alter do Chão,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 62,contatos,(93) 99191-2805,Registrar autorização antes de tornar qualquer contato público.
média,far_from_route,inventory:pindobal:54,Pousada Recanto Alter do Chão,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 62,dist_rota_m,695.8,Confirmar se o ponto deve permanecer vinculado à rota de Pindobal.
alta,contact_authorization_required,inventory:pindobal:55,Pousada Flor de Alter,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 62,contatos,(93) 99230-1954,Registrar autorização antes de tornar qualquer contato público.
alta,contact_authorization_required,inventory:pindobal:56,Pousada Sorriso da Mata,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 62,contatos,(93) 99197-3675,Registrar autorização antes de tornar qualquer contato público.
alta,contact_authorization_required,inventory:pindobal:57,Pousada Saimiri,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 62,contatos,(61) 98163-5602,Registrar autorização antes de tornar qualquer contato público.
alta,contact_authorization_required,inventory:pindobal:58,Hostel Albergue da Floresta,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 63,contatos,alberguedafloresta@hotmail.com,Registrar autorização antes de tornar qualquer contato público.
média,far_from_route,inventory:pindobal:58,Hostel Albergue da Floresta,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 63,dist_rota_m,676.4,Confirmar se o ponto deve permanecer vinculado à rota de Pindobal.
alta,contact_authorization_required,inventory:pindobal:59,Pousada Vila Ypawua,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 63,contatos,(93) 99141-3445,Registrar autorização antes de tornar qualquer contato público.
média,far_from_route,inventory:pindobal:59,Pousada Vila Ypawua,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 63,dist_rota_m,641.9,Confirmar se o ponto deve permanecer vinculado à rota de Pindobal.
alta,contact_authorization_required,inventory:pindobal:60,Pousada Arara,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 64,contatos,(93) 99154-1123 / 99244-1324 / 99154-1536,Registrar autorização antes de tornar qualquer contato público.
baixa,email_cleaned,inventory:pindobal:60,Pousada Arara,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 64,email,pousadaararaalterdochao@gmail.com UH: 15 - Leitos: 46,Confirmar o e-mail normalizado: pousadaararaalterdochao@gmail.com
alta,contact_authorization_required,inventory:pindobal:61,Pousada Belas Praias,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 64,contatos,(93) 99225-8195 / 99145-9595 / 99232-9944,Registrar autorização antes de tornar qualquer contato público.
média,multiple_emails,inventory:pindobal:61,Pousada Belas Praias,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 64,email,belaspraias@gmail.com / contato@pousadabelaspraias.com.br,Escolher o e-mail público principal.
baixa,website_cleaned,inventory:pindobal:61,Pousada Belas Praias,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 64,site,www.pousadabelaspraias.com.br,Confirmar a URL normalizada: https://www.pousadabelaspraias.com.br
alta,contact_authorization_required,inventory:pindobal:62,Pousada Cabocla,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 64,contatos,(93) 98122-4914 / 99143-9862,Registrar autorização antes de tornar qualquer contato público.
baixa,website_cleaned,inventory:pindobal:62,Pousada Cabocla,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 64,site,www.pousadacabocla.com.br,Confirmar a URL normalizada: https://www.pousadacabocla.com.br
alta,contact_authorization_required,inventory:pindobal:63,Pousada Coração Verde,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 64,contatos,(93) 99145-7005 / 99111-3335 / 99198-2039,Registrar autorização antes de tornar qualquer contato público.
baixa,website_cleaned,inventory:pindobal:63,Pousada Coração Verde,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 64,site,www.pousadaehostelalterdochao.coracaoverde.com,Confirmar a URL normalizada: https://www.pousadaehostelalterdochao.coracaoverde.com
alta,contact_authorization_required,inventory:pindobal:64,Pousada Encantos da Amazônia,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 65,contatos,(93) 99123-9115 / 98421-8321,Registrar autorização antes de tornar qualquer contato público.
baixa,email_cleaned,inventory:pindobal:64,Pousada Encantos da Amazônia,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 65,email,pousadaencantosdaamazonia@gmail.com UH: 10 - Leitos: 30,Confirmar o e-mail normalizado: pousadaencantosdaamazonia@gmail.com
alta,contact_authorization_required,inventory:pindobal:65,Pousada Lago Verde,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 65,contatos,(93) 99166-0677,Registrar autorização antes de tornar qualquer contato público.
baixa,email_cleaned,inventory:pindobal:65,Pousada Lago Verde,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 65,email,pousada-lagoverde@hotmail.com UH: 5 - Leitos: 15,Confirmar o e-mail normalizado: pousada-lagoverde@hotmail.com
alta,contact_authorization_required,inventory:pindobal:66,Pousada do Mingote,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 65,contatos,(93) 99105-6758 / 99182-1794 / 99116-8962,Registrar autorização antes de tornar qualquer contato público.
alta,contact_authorization_required,inventory:pindobal:67,Pousada Serra da Lua,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 65,contatos,(93) 99174-6202,Registrar autorização antes de tornar qualquer contato público.
baixa,website_cleaned,inventory:pindobal:67,Pousada Serra da Lua,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 65,site,www.pousadaserradalua.blogspot.com/ Serviço e instalações: Possui piscina UH: 8 - Leitos: 23,Confirmar a URL normalizada: https://www.pousadaserradalua.blogspot.com
alta,contact_authorization_required,inventory:pindobal:68,Pousada Sombra do Cajueiro,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 66,contatos,(93) 99165-0345 / 99179-0556,Registrar autorização antes de tornar qualquer contato público.
baixa,website_cleaned,inventory:pindobal:68,Pousada Sombra do Cajueiro,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 66,site,www.pousadasombradocajueiro.com.br UH: 7 - Leitos: 18,Confirmar a URL normalizada: https://www.pousadasombradocajueiro.com.br
média,far_from_route,inventory:pindobal:68,Pousada Sombra do Cajueiro,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 66,dist_rota_m,548.0,Confirmar se o ponto deve permanecer vinculado à rota de Pindobal.
alta,contact_authorization_required,inventory:pindobal:69,Hotel Terra Nativa,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 66,contatos,(93) 99231-1515,Registrar autorização antes de tornar qualquer contato público.
baixa,website_cleaned,inventory:pindobal:69,Hotel Terra Nativa,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 66,site,"www.pousadaterranativa.blogspot.com/ Serviço e instalações: Tv a cabo, armador de rede UH: 8 - Leitos: 20",Confirmar a URL normalizada: https://www.pousadaterranativa.blogspot.com
alta,contact_authorization_required,inventory:pindobal:70,Pousada Tropicaliente,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 66,contatos,(93) 99206-1332 / 99908-4203,Registrar autorização antes de tornar qualquer contato público.
baixa,email_cleaned,inventory:pindobal:70,Pousada Tropicaliente,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 66,email,lourdes.alter@gmail.com UH: 10 - Leitos: 21,Confirmar o e-mail normalizado: lourdes.alter@gmail.com
alta,contact_authorization_required,inventory:pindobal:71,Pousada Tupaiulândia,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 66,contatos,(93) 99125-6258,Registrar autorização antes de tornar qualquer contato público.
baixa,email_cleaned,inventory:pindobal:71,Pousada Tupaiulândia,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 66,email,pousadatupaiulandia@hotmail.com / pousada-tupaiulandia.blogspot.com/ UH: 6 - Leitos: 24,Confirmar o e-mail normalizado: pousadatupaiulandia@hotmail.com
alta,contact_authorization_required,inventory:pindobal:72,Pousada Vila da Praia,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 67,contatos,(93) 99121-5914 / 99132-4545 / 99197-7214,Registrar autorização antes de tornar qualquer contato público.
média,multiple_emails,inventory:pindobal:72,Pousada Vila da Praia,Inventário da Secretaria de Turismo,Inventário da Oferta Turística da Secretaria de Turismo; página 67,email,viladapraiaalter@hotmail.com / reservas@villadapraiapousada.com.br,Escolher o e-mail público principal.
