pagina,categoria,titulo,coordenadas_geograficas,endereco,local,telefone,email,instagram,site,funcionamento,servicos_instalacoes,forma_pagamento,contingente,projetos_sociais,observacoes_criticas,observacoes,texto_bruto,forma_de_acesso,id,latitude,longitude,status_coord,categoria_normalizada,categoria_id,dist_rota_m,km_rota,segmento_rota,ponto_projetado_rota
37,shopping/lojas de departamento,Shopping Rio Tapajós,"-2.447721, -54.757365","End. Avenida Eng. Fernando Guilhon, s/n - Santarenzinho – CEP: 68035-000",Santarém/PA,,,,,,"O Rio Tapajós Shopping possui um piso para estabelecimentos co- merciais, onde estão distribuídas 138 lojas (09 âncoras e semi âncoras), um supermercado, Praça de Alimentação, área para recreação infantil e oito salas de cinema tipo multiplex stadium.",,,,,,"Shopping Rio Tapajós Coordenadas Geográficas -2°26’49.1” / -54°45’26.5” Endereço: End. Avenida Eng. Fernando Guilhon, s/n - Santarenzinho – CEP: 68035-000 Serviços e Instalações: O Rio Tapajós Shopping possui um piso para estabelecimentos co- merciais, onde estão distribuídas 138 lojas (09 âncoras e semi âncoras), um supermercado, Praça de Alimentação, área para recreação infantil e oito salas de cinema tipo multiplex stadium.",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,11,-2.447721,-54.757365,ok,shopping lojas de departamento,shopping_lojas_de_departamento,258.6,3.693,100,"[-54.7564972, -2.4498793]"
38,cartórios,Cartório Siqueira Sardinha Único Ofício,"-2.504278, -54.954306","Rua Turiano Meira, 370 – Alter do Chão – Centro - CEP: 68005-290",Vila de Alter do Chão — Santarém/PA,,cartorioalter@hotmail.com,,,8h às 12h das 14h às 17h (segunda a sexta),,,,,,,"Cartório Siqueira Sardinha Único Ofício Coordenadas Geográficas:-2°30’15.4” / -54°57’15.5” Endereço: Rua Turiano Meira, 370 – Alter do Chão – Centro - CEP: 68005-290 E-mail: cartorioalter@hotmail.com Funcionamento: 8h às 12h das 14h às 17h (segunda a sexta)",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,12,-2.504278,-54.954306,ok,cartorios,cartorios,513.1,33.27,656,"[-54.950456, -2.506827]"
40,Igrejas e Templos,Paróquia N. Sra. do Rosário,"-2.449028, -54.741278","Rua São Tomé, s/n - Santarenzinho - CEP: 68.035-310",Santarém/PA,,paroqdorosario@yahoo.com.br,,,,,,,,,,"Paróquia N. Sra. do Rosário Coordenadas Geográficas: -2°26’56.5” / -54°44’28.6” Endereço: Rua São Tomé, s/n - Santarenzinho - CEP: 68.035-310 E-mail: paroqdorosario@yahoo.com.br",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,13,-2.449028,-54.741278,ok,religioso,religioso,553.4,2.077,56,"[-54.74307, -2.444384]"
40,Igrejas e Templos,Paróquia N. Sra. da Saúde,"-2.503583, -54.952472","Tv. Turiano Meira, 526 - Centro - Alter do Chão - CEP: 68109-000",Vila de Alter do Chão — Santarém/PA,,saudealter@gmail.com,,,,,,,,,,"Paróquia N. Sra. da Saúde Coordenadas Geográficas: -2°30’12.9”/ -54°57’08.9” Endereço: Tv. Turiano Meira, 526 - Centro - Alter do Chão - CEP: 68109-000 E-mail: saudealter@gmail.com",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,14,-2.503583,-54.952472,ok,religioso,religioso,424.6,33.27,656,"[-54.950456, -2.506827]"
40,Igrejas e Templos,Área Pastoral São João Batista,"-2.439556, -54.726806","Av. Margarida, 261 - Jardim Santarém - CEP: 68030-540",Santarém/PA,,saojoaobatista-@hotmail.com,,,,,,,,,,"Área Pastoral São João Batista Coordenadas Geográficas: -2°26’22.4” / -54°43’36.5” Endereço: Av. Margarida, 261 - Jardim Santarém - CEP: 68030-540 E-mail: saojoaobatista-@hotmail.com",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,15,-2.439556,-54.726806,ok,religioso,religioso,563.3,0.194,11,"[-54.7313223, -2.4418591]"
41,Igrejas e Templos,Área Pastoral São Pedro,"-2.449194, -54.727917","Rua Boa Esperança, 219 - Bairro Esperança - CEP: 68030-200",Santarém/PA,,,,,,,,,,,,"Área Pastoral São Pedro Coordenadas Geográficas: -2°26’57.1” / -54°43’40.5” Endereço: Rua Boa Esperança, 219 - Bairro Esperança - CEP: 68030-200",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,16,-2.449194,-54.727917,ok,religioso,religioso,734.0,0.0,1,"[-54.730652, -2.443185]"
41,Igrejas e Templos,Área Pastoral Madre Paulina,"-2.450472, -54.753139","Rua Valmir Sarmento, 129 – Conquista - CEP: 68035-090",Santarém/PA,,,,,,,,,,,,"Área Pastoral Madre Paulina Coordenadas Geográficas: -2°27’01.7” / -54°45’11.3” Endereço: Rua Valmir Sarmento, 129 – Conquista - CEP: 68035-090",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,17,-2.450472,-54.753139,ok,religioso,religioso,201.6,3.375,97,"[-54.7538502, -2.4488036]"
41,Igrejas e Templos,Igreja Presbiteriana Independente,"-2.442194, -54.727472","Av. Girassol, 1308 – Jardim Santarém - CEP: 68038-330",Santarém/PA,,,,,,,,,,,,"Igreja Presbiteriana Independente Coordenadas Geográficas: -2°26’31.9” -54°43’38.9” Endereço: Av. Girassol, 1308 – Jardim Santarém - CEP: 68038-330",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,18,-2.442194,-54.727472,ok,religioso,religioso,365.0,0.038,2,"[-54.730693, -2.442842]"
42,Igrejas e Templos,Igreja da Paz - Esperança,"-2.446417, -54.727972",Rua Quixadá 445 - Esperança - CEP: 68030-250,Santarém/PA,,,,,,,,,,,,Igreja da Paz - Esperança Coordenadas Geográficas: -2°26’47.1” / -54°43’40.7” Endereço: Rua Quixadá 445 - Esperança - CEP: 68030-250,Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,19,-2.446417,-54.727972,ok,religioso,religioso,466.7,0.0,1,"[-54.730652, -2.443185]"
43,Igrejas e Templos,Igreja da Paz - Santarenzinho,"-2.443722, -54.740944",Rod. Eng. Fernando Guilhon 188 - Santarenzinho - CEP: 68035-000,Santarém/PA,,,,,,,,,,,,Igreja da Paz - Santarenzinho Coordenadas Geográficas: -2°26’37.4” / -54°44’27.4” Endereço: Rod. Eng. Fernando Guilhon 188 - Santarenzinho - CEP: 68035-000,Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,20,-2.443722,-54.740944,ok,religioso,religioso,31.0,1.839,49,"[-54.7411231, -2.4435085]"
43,Igrejas e Templos,Igreja da Paz Salvação - Salvação,"-2.450222, -54.755194",Rua Conceição Barreto 41 - Conquista - CEP: 68035-830,Santarém/PA,,,,,,,,,,,,Igreja da Paz Salvação - Salvação Coordenadas Geográficas: -2°27’00.8” / -54°45’18.7” Endereço: Rua Conceição Barreto 41 - Conquista - CEP: 68035-830,Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,21,-2.450222,-54.755194,ok,religioso,religioso,89.4,3.573,99,"[-54.7554977, -2.4494777]"
43,Igrejas e Templos,Igreja da Paz Conquista,"-2.452361, -54.752250",Rua Olavo Bilac 495 - CEP: 68035-360,Santarém/PA,,,,,,,,,,,,Igreja da Paz Conquista Coordenadas Geográficas: -2°27’08.5” / -54°45’08.1” Endereço: Rua Olavo Bilac 495 - CEP: 68035-360,Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,22,-2.452361,-54.75225,ok,religioso,religioso,433.6,3.367,97,"[-54.7537792, -2.4487734]"
43,Igrejas e Templos,Igreja da Paz Cucurunã - Cucurunã,"-2.473694, -54.783139",Rodovia Everaldo Martins Km 05 - Comunidade de Cucurunã - CEP: 68100-993,Santarém/PA,,,,,,,,,,,,Igreja da Paz Cucurunã - Cucurunã Coordenadas Geográficas: -2°28’25.3” / -54°46’59.3” Endereço: Rodovia Everaldo Martins Km 05 - Comunidade de Cucurunã - CEP: 68100-993,Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,23,-2.473694,-54.783139,ok,religioso,religioso,14.5,8.112,224,"[-54.7830353, -2.4737733]"
43,Igrejas e Templos,Igreja da Paz - Alter do Chão,"-2.507750, -54.955972",Trav. São Cristóvão s/n - CEP: 68109-00,Vila de Alter do Chão — Santarém/PA,,,,,,,,,,,,Igreja da Paz - Alter do Chão Coordenadas Geográficas: -2°30’27.9” / -54°57’21.5” Endereço: Trav. São Cristóvão s/n - CEP: 68109-00,Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,24,-2.50775,-54.955972,ok,religioso,religioso,238.8,34.143,668,"[-54.955232, -2.509766]"
43,Igrejas e Templos,Igreja da Paz - Irurama,"-2.487778, -54.837139",Estrada do Irurama - CEP: 68100-000 -,Santarém/PA,,,,,,,,,,,,Igreja da Paz - Irurama Coordenadas Geográficas: -2°29’16.0”/ -54°50’13.7” Endereço: Estrada do Irurama - CEP: 68100-000 - Comunidade de Irurama,Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,25,-2.487778,-54.837139,ok,religioso,religioso,155.2,14.719,378,"[-54.836677, -2.489095]"
44,Igrejas e Templos,Igreja da Paz - São Brás,"-2.484833, -54.822611",Rodovia Everaldo Martins Km 07 - Comunidade de São Brás - CEP: 68100-000,Comunidade São Brás — Santarém/PA,,,,,,,,,,,,Igreja da Paz - São Brás Coordenadas Geográficas: -2°29’05.4” / -54°49’21.4” Endereço: Rodovia Everaldo Martins Km 07 - Comunidade de São Brás - CEP: 68100-000,Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,26,-2.484833,-54.822611,ok,religioso,religioso,10.7,12.939,333,"[-54.8225539, -2.4849102]"
48,hospedagem,Hotel Açaí,"-2.439806, -54.732833","Av. Cuiabá, 2606 - Caranazal - CEP: 68040-400",Comunidade Caranazal — Santarém/PA,(93) 99130-8030,reservas@hotelacay.com.br,,www.hotelacay.com.br,,"Wi-Fi grátis, café da manhã incluso na diária, restaurante, Tv a cabo, espaço para eventos, 2 auditórios com capacidade para 100 e 60 pessoas, estacio - namento próprio UH: 60 - Leitos: 135",,,,,,"Hotel Açai Coordenadas Geográficas: -2°26’23.3”/ -54°43’58.2” Endereço: Av. Cuiabá, 2606 - Caranazal - CEP: 68040-400 Telefone: (93) 99130-8030 E-mail: reservas@hotelacay.com.br Site: www.hotelacay.com.br Serviços e Instalações: Wi-Fi grátis, café da manhã incluso na diária, restaurante, Tv a cabo, espaço para eventos, 2 auditórios com capacidade para 100 e 60 pessoas, estacio - namento próprio UH: 60 - Leitos: 135",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,27,-2.439806,-54.732833,ok,hospedagem,hospedagem,31.4,0.797,24,"[-54.7325649, -2.4398961]"
49,hospedagem,Hotel Raifran,"-2.448556, -54.729889","Av. Cuiabá, 2953 - Esperança - CEP: 68040-400",Santarém/PA,(93) 99114-8764 / 99211-8128 / 99148-1675,,,,,,,,,,,"Hotel Raifran Coordenadas Geográficas: -2°26’54.8”/ -54°43’47.6” Endereço: Av. Cuiabá, 2953 - Esperança - CEP: 68040-400 Telefone: (93) 99114-8764 / 99211-8128 / 99148-1675 UH: 20 - Leitos: 46",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,28,-2.448556,-54.729889,ok,hospedagem,hospedagem,603.2,0.0,1,"[-54.730652, -2.443185]"
51,hospedagem,Hotel Pôr do Sol,"-2.444583, -54.744528","Rod. Fernando Guilhon, 1000 - Santarenzinho - CEP: 68035-000",Santarém/PA,(93) 99175-1427,recepcao@pordosolhotel.com.br,,www.pordosolhotel.com.br,,"Wi-Fi grátis, café da manhã incluso na diária, TV a cabo, quartos climatizados, piscina, 1 auditório, sala de reunião, estacionamento próprio - UH: 39",,,,,,"Hotel Pôr do Sol Coordenadas Geográficas: -2°26’40.5” / -54°44’40.3” Endereço: Rod. Fernando Guilhon, 1000 - Santarenzinho - CEP: 68035-000 Telefone: (93) 99175-1427 E-mail: recepcao@pordosolhotel.com.br Site: www.pordosolhotel.com.br Serviços e Instalações: Wi-Fi grátis, café da manhã incluso na diária, TV a cabo, quartos climatizados, piscina, 1 auditório, sala de reunião, estacionamento próprio - UH: 39",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,29,-2.444583,-54.744528,ok,hospedagem,hospedagem,39.9,2.235,59,"[-54.7443941, -2.4449164]"
52,hospedagem,Hotel Rio Tapajós,"-2.448136, -54.753307","Rodovia Fernando Guilhon, 18",Santarém/PA,(93) 99139-6024,hotelriotapajosstm@hotmail.com,,,,,,,,,,"Hotel Rio Tapajós Endereço: Rodovia Fernando Guilhon, 18 Telefone: (93) 99139-6024 E-mail: hotelriotapajosstm@hotmail.com",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,30,-2.448136,-54.753307,ok,hospedagem,hospedagem,44.7,3.291,97,"[-54.7531495, -2.4485055]"
53,hospedagem,Hotel Água linda,"-2.504444, -54.951306","Rua Dom Macedo Costa, 777 - Centro, Alter do Chão - CEP: 68109-000",Vila de Alter do Chão — Santarém/PA,(93) 99122-1373,agualinda@agualindahotel.com.br / reservas@agualindahotel.com.br,,www.agualindahotel.com.br,,"Apartamentos tipo chalé, suítes com ar-condicionado, restaurante, salão de eventos, salão com capacidade para 40 pessoas e anexo para 150 pessoas, TV por satélite, frigobar UH: 32 - Leitos: 84","Dinheiro, Cartão de crédito e débito",,,,,"Hotel Água linda Coordenadas Geográficas: -2°30’16.0” / -54°57’04.7” Endereço: Rua Dom Macedo Costa, 777 - Centro, Alter do Chão - CEP: 68109-000 Telefone: (93) 99122-1373 E-mail: agualinda@agualindahotel.com.br / reservas@agualindahotel.com.br Site: www.agualindahotel.com.br Forma de Pagamento: Dinheiro, Cartão de crédito e débito Serviços e Instalações: Apartamentos tipo chalé, suítes com ar-condicionado, restaurante, salão de eventos, salão com capacidade para 40 pessoas e anexo para 150 pessoas, TV por satélite, frigobar UH: 32 - Leitos: 84",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,31,-2.504444,-54.951306,ok,hospedagem,hospedagem,281.3,33.27,656,"[-54.950456, -2.506827]"
53,hospedagem,Hotel Beloalter - Casa do Saulo,"-2.506611, -54.944500","Rua Pedro Teixeira, 500 - Carauarí - Alter do Chão - CEP: 68109-000",Vila de Alter do Chão — Santarém/PA,(93) 99131-7677 / 99111-3133,reservas@beloalter.com.br,,www.beloalter.com.br | facebook.com/beloalter,,"Praia privada, restaurante, piscina, auditório UH: 30 - Leitos: 90","Dinheiro, Cartão de crédito e débito",,,,,"Hotel Beloalter - Casa do Saulo Coordenadas Geográficas: -2°30’23.8” / - 54°56’40.2” Endereço: Rua Pedro Teixeira, 500 - Carauarí - Alter do Chão - CEP: 68109-000 Telefone: (93) 99131-7677 / 99111-3133 E-mail: reservas@beloalter.com.br Site: www.beloalter.com.br | facebook.com/beloalter Forma de Pagamento: Dinheiro, Cartão de crédito e débito Serviços e Instalações: Praia privada, restaurante, piscina, auditório UH: 30 - Leitos: 90",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,32,-2.506611,-54.9445,ok,hospedagem,hospedagem,662.1,33.27,656,"[-54.950456, -2.506827]"
54,hospedagem,Hotel Mirante da Ilha,"-2.502806, -54.953944","Rua Lauro Sodré, 369 - Centro - Alter do Chão - CEP: 68109-000",Vila de Alter do Chão — Santarém/PA,(93) 3527-1268(ws) / 3527-1110,contato@hotelmirantedailha.com.br / reservas@hotelmirantedailha.com.br,,www.hotelmirantedailha.com.br,,"Terraço com mirante de frente à Ilha do Amor, carros para transfer (sob consulta) gerador próprio, sistema de energia solar para aquecimento da água, auditório com capacidade para 200 pessoas, restaurante panorâmico, lavanderia, piscina e bar. Especialidades: Comidas típicas. UH: 60 - Leitos: 146",,,,,,"Hotel Mirante da Ilha Coordenadas Geográficas: -2°30’10.1” / -54°57’14.2” Endereço: Rua Lauro Sodré, 369 - Centro - Alter do Chão - CEP: 68109-000 Telefone: (93) 3527-1268(ws) / 3527-1110 E-mail: contato@hotelmirantedailha.com.br / reservas@hotelmirantedailha.com.br Site: www.hotelmirantedailha.com.br Serviços e Instalações: Terraço com mirante de frente à Ilha do Amor, carros para transfer (sob consulta) gerador próprio, sistema de energia solar para aquecimento da água, audi- tório com capacidade para 200 pessoas, restaurante panorâmico, lavanderia, piscina e bar. Especialidades: Comidas típicas. UH: 60 - Leitos: 146",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,33,-2.502806,-54.953944,ok,hospedagem,hospedagem,591.7,33.27,656,"[-54.950456, -2.506827]"
54,hospedagem,Hotel Borari,"-2.504667, -54.952861","Rua Dom Macedo Costa, 1061 - Alter do Chão - CEP: 68000-109",Vila de Alter do Chão — Santarém/PA,(93) 99130-3535 / 3017-1152,hotelborari@hotmail.com,,www.hotelborari.com.br,,"Wi-Fi grátis, área de lazer, estacionamento, piscina com água aquecida UH: 44 - Leitos: 100",,,,,,"Hotel Borari Coordenadas Geográficas: -2°30’16.8” -54°57’10.3” Endereço: Rua Dom Macedo Costa, 1061 - Alter do Chão - CEP: 68000-109 Telefone: (93) 99130-3535 / 3017-1152 E-mail: hotelborari@hotmail.com Site: www.hotelborari.com.br Serviços e Instalações: Wi-Fi grátis, área de lazer, estacionamento, piscina com água aquecida UH: 44 - Leitos: 100",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,34,-2.504667,-54.952861,ok,hospedagem,hospedagem,359.3,33.27,656,"[-54.950456, -2.506827]"
55,hospedagem,Pousada Babaçu,"-2.508771, -54.951346","Rua Professor Juvencio Navarro, 425 - Alter do Chão",Vila de Alter do Chão — Santarém/PA,(93) 99192-2768,augusto68mendes@gmail.com,@pousadababaçualter,,,"Dispomos de 07 apartamentos com 21 leitos confortáveis, wi-fi",,,,,,"Pousada Babaçu Endereço: Rua Professor Juvencio Navarro, 425 - Alter do Chão Serviços e Instalações: Dispomos de 07 apartamentos com 21 leitos confortáveis, wi-fi Instagram: @pousadababaçualter E-mail: augusto68mendes@gmail.com Telefone: (93) 99192-2768",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,35,-2.508771,-54.951346,ok,hospedagem,hospedagem,75.3,33.043,653,"[-54.9506734, -2.5088564]"
55,hospedagem,Hotel Caribe do Alter,"-2.511104, -54.950268","Travessa Francisco pedroso, 66 - Alter do Chão",Vila de Alter do Chão — Santarém/PA,(93) 99147-7714,hotelcaribedealter@gmail.com,@hotelcaribedealter,,,"A pousada dispõe de 17 apartamentos com 30 leitos, wi-fi, estacionamento",,,,,,"Hotel Caribe do Alter Endereço: Travessa Francisco pedroso, 66 - Alter do Chão E-mail: hotelcaribedealter@gmail.com Instagram: @hotelcaribedealter Telefone: (93) 99147-7714 Serviços e Instalações: A pousada dispõe de 17 apartamentos com 30 leitos, wi-fi, esta- cionamento",Carro — Terminal Rodoviário → BR-163/Av. Moaçara → PA-457 → Alter do Chão → Estrada do Pindobal,36,-2.511104,-54.950268,ok,hospedagem,hospedagem,32.9,32.767,643,"[-54.9505081, -2.5112768]"
